RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1
3,1732,Π,5,1053,Win,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1732,Π,13,1053,Win,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1242,Δ,5,1053,Win,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1242,Δ,12,1053,Win,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1732,Δ,-1,1054,Loss,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1732,Δ,8,1054,Win,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1509,Π,-6,1054,Loss,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1509,Π,-3,1054,Loss,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1474,Π,3,1054,Win,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1474,Π,7,1054,Win,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1292,Δ,18,1054,Win,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1292,Δ,29,1054,Win,5,0,3,5.0,24.0,104.0,55,19,University of Florida C,University of Florida C,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1532,Π,8,1104,Win,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1532,Π,7,1104,Win,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1474,Δ,10,1104,Win,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1474,Δ,2,1104,Win,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1507,Π,-6,1104,Loss,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1507,Π,-7,1104,Loss,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1402,Δ,-9,1104,Loss,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1402,Δ,9,1104,Win,5,0,3,5.0,22.0,94.0,14,27,University of South Florida A 7/16/2019 1/28/2020,University of South Florida A 7/16/2019 1/28/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1509,Δ,-9,1105,Loss,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1509,Δ,-6,1105,Loss,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1732,Π,-10,1105,Loss,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1732,Π,-14,1105,Loss,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1241,Δ,-11,1105,Loss,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1241,Δ,-22,1105,Loss,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1245,Π,3,1105,Win,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1245,Π,6,1105,Win,2,0,6,2.0,24.0,100.0,-63,7,University of South Florida B  1/18/2020,University of South Florida B  1/18/2020,False,False,False,False,,,,,,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1402,Δ,-31,1152,Loss,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1402,Δ,-14,1152,Loss,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1341,Π,-8,1152,Loss,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1341,Π,3,1152,Win,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1194,Π,-13,1152,Loss,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1194,Π,-17,1152,Loss,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1999,Δ,4,1152,Win,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1999,Δ,-10,1152,Loss,2,0,6,2.0,14.0,70.0,-86,20,Northern Illinois University A 8/1/2019,Northern Illinois University A 8/1/2019,False,False,False,False,,Emily Hinton ,Witness,16,∆,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1341,Δ,17,1194,Win,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1341,Δ,15,1194,Win,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1322,Π,16,1194,Win,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1322,Π,20,1194,Win,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1473,Π,-4,1194,Loss,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1473,Π,-3,1194,Loss,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1685,Δ,0,1194,Tie,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1685,Δ,-10,1194,Loss,4,1,3,4.5,15.5,60.5,51,13,University of West Florida A 8/8/2019,University of West Florida A 8/8/2019,False,False,True,False,29,Emily Hinton ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
