RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,division,start_date,end_date,host,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1
4,1365,Π,-4,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1365,Π,-18,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1616,Δ,7,1042,Win,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1616,Δ,-18,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1616,Δ,-13,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1344,Π,13,1042,Win,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1344,Π,-2,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1344,Π,-15,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1382,Δ,7,1042,Win,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1382,Δ,-14,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1382,Δ,-3,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1212,Π,-5,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1212,Π,-3,1042,Loss,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1212,Π,7,1042,Win,4,0,8,4.0,16.0,64.0,-39,13,Macalester College,Macalester College,False,False,False,False,,Brett Campbell 1042,Witness,22,Π,Brett Campbell 1042,Witness,22,Δ,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1138,Π,4,1062,Win,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1138,Π,-14,1062,Loss,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1138,Π,-2,1062,Loss,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1158,Δ,5,1062,Win,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1158,Δ,-14,1062,Loss,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1158,Δ,25,1062,Win,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1212,Δ,1,1062,Win,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1212,Δ,1,1062,Win,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1212,Δ,2,1062,Win,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1243,Π,-1,1062,Loss,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1243,Π,-7,1062,Loss,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1243,Π,4,1062,Win,7,0,5,7.0,25.0,91.0,4,11,University of Virginia,University of Virginia,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1622,Δ,5,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1622,Δ,7,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1622,Δ,-7,1066,Loss,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1243,Π,-13,1066,Loss,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1243,Π,5,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1243,Π,1,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1365,Δ,1,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1365,Δ,8,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1365,Δ,12,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1254,Π,-5,1066,Loss,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1254,Π,2,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1254,Π,1,1066,Win,9,0,3,9.0,29.0,99.0,17,7,Rhodes College,Rhodes College,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1471,Δ,-9,1070,Loss,6,0,6,6.0,20.0,72.0,-30,23,Pomona College,Pomona College,False,False,False,False,,Chris Helwig (Hartman) 1070,Witness,23,Π,Gabriel Bronshteyn 1070,Witness,23,Π,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1471,Δ,-4,1070,Loss,6,0,6,6.0,20.0,72.0,-30,23,Pomona College,Pomona College,False,False,False,False,,Chris Helwig (Hartman) 1070,Witness,23,Π,Gabriel Bronshteyn 1070,Witness,23,Π,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1471,Δ,1,1070,Win,6,0,6,6.0,20.0,72.0,-30,23,Pomona College,Pomona College,False,False,False,False,,Chris Helwig (Hartman) 1070,Witness,23,Π,Gabriel Bronshteyn 1070,Witness,23,Π,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1148,Π,2,1070,Win,6,0,6,6.0,20.0,72.0,-30,23,Pomona College,Pomona College,False,False,False,False,,Chris Helwig (Hartman) 1070,Witness,23,Π,Gabriel Bronshteyn 1070,Witness,23,Π,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1148,Π,3,1070,Win,6,0,6,6.0,20.0,72.0,-30,23,Pomona College,Pomona College,False,False,False,False,,Chris Helwig (Hartman) 1070,Witness,23,Π,Gabriel Bronshteyn 1070,Witness,23,Π,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1148,Π,14,1070,Win,6,0,6,6.0,20.0,72.0,-30,23,Pomona College,Pomona College,False,False,False,False,,Chris Helwig (Hartman) 1070,Witness,23,Π,Gabriel Bronshteyn 1070,Witness,23,Π,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
